label,MultinomialNB_pred,overall,summary,text_preview
Neutral,Positive,3.0,This Model Works Just Fine,This Model Works Just Fine. I returned this icemaker.  It would have been nice if the seller included the wiring adapter.  I ended up buying it locally from Tri
Negative,Positive,2.0,Check condition prior to installing.,"Check condition prior to installing.. The oilite bushings were bone dry.
The first one I installed failed within 24 hours.
I disassembled the second, greased we"
Negative,Positive,2.0,Wanted to like this but...,Wanted to like this but.... I've been using this for three weeks now and am finding that my nose and my son's nose are still very dry. I really wanted to like t
Neutral,Positive,3.0,Three Stars,Three Stars. Got me up and running again.  A bit pricey though.
Positive,Negative,5.0,I was concerned since many so called beverage centers do not cool below 40F,I was concerned since many so called beverage centers do not cool below 40F. Has been installed for several weeks now.  I have a thermometer on a middle shelf a
Neutral,Positive,3.0,Three Stars,Three Stars. Unfortunately one of them is leaking.
Negative,Neutral,1.0,Wasn't great the plastic covering came off the long brush and ...,Wasn't great the plastic covering came off the long brush and .... Wasn't great the plastic covering came off the long brush and was afraid it would rip the alu
Negative,Positive,2.0,Doesn't last long,"Doesn't last long. Works great, but only lasts about 5 weeks at most... I know we have hard water but this thing should last longer for the price..."
Neutral,Positive,3.0,Three Stars,Three Stars. Works good.
Neutral,Negative,3.0,The top end that attaches to the washer drum is ...,The top end that attaches to the washer drum is .... The top end that attaches to the washer drum is too small for my WF210AN washing machine IF the bushing is 
Negative,Positive,1.0,One Star,One Star. This filter needed to be replaced about 40 days after we installed it.  That is bogus.
Negative,Positive,1.0,We tried 2 filters but the water pressure through the ...,We tried 2 filters but the water pressure through the .... We tried 2 filters but the water pressure through the filter drops dramatically and makes the water s
Neutral,Positive,3.0,Three Stars,Three Stars. yip they worked but crazy expensive
Positive,Negative,5.0,Try this before calling for service or replacement,Try this before calling for service or replacement. We inherited a Maytag Neptune MAH9700AWM washer when we bought our house in 2014. It worked fine for a while
Positive,Negative,5.0,"LG Model # LFX28978ST - So, this damn spring ...","LG Model # LFX28978ST - So, this damn spring .... LG Model # LFX28978ST - So, this damn spring breaks 2 months after the 5 year extended warranty runs out.  Cou"
Positive,Negative,5.0,I'M LEARNING CENTIGRADE,"I'M LEARNING CENTIGRADE. I purchased three of these several weeks ago. Two of them are being used currently. One in my freezer, one in my green house both are w"
Negative,Positive,2.0,Not cleanable.,Not cleanable.. Not ver sturdy. Cannot clean in oven like some. I tried to soak them and finally scrub them and they did not clean.
Neutral,Negative,3.0,Weak Metal Clasp,"Weak Metal Clasp. Kenmore dryer, the pin would not hold in the clasp/latch. The metal clasp (pictured) was not strong enough to hold the door closed. I was able"
Neutral,Positive,3.0,They work,They work. ...but the stem is undersized for my grates.  I used a little aluminum foil to wedge them in and they're okay.  i will be affixing them with a little
Positive,Neutral,4.0,Cool item,"Cool item. Like other reviewers have mentioned, customer service is excellent and fast... I too got one with a dented corner and it was making strange noises, s"
Negative,Positive,1.0,not happy,not happy. It came cracked. Had to return.
Negative,Positive,1.0,Water Quality Not Good,Water Quality Not Good. I wanted to wait to give a review. I've had these for nearly 6 months and I can tell the difference in the quality is not as good as if 
Neutral,Positive,3.0,"Nothing was wrong with the part itself however, most ...","Nothing was wrong with the part itself however, most .... Nothing was wrong with the part itself however, most reviews suggested that this model was  compatible"
Positive,Negative,4.0,2 strikes...,"2 strikes.... The first unit initially was DOA out of the box, Amazon replaced it with a new unit.  The second unit failed just after the return period expired;"
Negative,Positive,1.0,wiring harness for Kenmore not included as stated,"wiring harness for Kenmore not included as stated. If you have a Kenmore there is no wiring harness included in this product, it comes with a couple different o"
Neutral,Positive,3.0,Received generic brand not LG,"Received generic brand not LG. Received generic brand not LG, quality not as good as genuine LG filters."
Negative,Positive,2.0,Too flimsy,Too flimsy. They are super flexible and light weight. For me don't tend to stay in place.  Looking for something with a little more weight so they don't move wh
Negative,Positive,2.0,Nice quality but doesn't work well.,Nice quality but doesn't work well.. It's fits well and looks nice but it causes the drain to back up. We have to push stuff down into it or small pieces of foo
Neutral,Positive,3.0,well it worked pretty ok for a while,"well it worked pretty ok for a while. well it worked pretty ok for a while, but as so many products these days are built to last till the warranty expires.  It "
Neutral,Positive,3.0,think about height,"think about height. The freezer is a little weird, it builds up ice very quickly and when we turned down the chill the ice kind of builds and melts constantly s"
Negative,Positive,1.0,Leaks,"Leaks. Leaked all over the inside of the fridge.  Went in perfect.  Fit's just like the original, but leaked...not fast, but enough that we had to put a bowl in"
Neutral,Positive,3.0,Not required if buying Waste King L-2600 disposal,Not required if buying Waste King L-2600 disposal. I bought this as recommended by Amazon with the disposal and the disposal already comes with it. Should have 
Neutral,Positive,3.0,Watch out for OEM statements on packaging,"Watch out for OEM statements on packaging. Came in a OEM whirlpool package but two of the rollers were not right. Luckily, mine didn't need replacement. Everyth"
Neutral,Positive,3.0,OK,OK. OK
Neutral,Positive,3.0,Would have been perfect,Would have been perfect. Researched it online and decided to choose this one.  When I got it I started to put it in and it was a inch longer than my freezer. I 
Neutral,Positive,3.0,Three Stars,Three Stars. as expected
Negative,Positive,2.0,Two Stars,Two Stars. Smaller than I hoped and really not worth the money.
Neutral,Positive,3.0,"Nothing special, its a range hood. Replacement for ...","Nothing special, its a range hood. Replacement for .... Nothing special, its a range hood. Replacement for my 15 year old Kenmore. Other than the badging, it wa"
Neutral,Positive,3.0,Temperature is pretty accurate for indoors,Temperature is pretty accurate for indoors. Temperature is pretty accurate for indoors. Outdoor temperature sometimes seems to be way off showing it's much hott
Neutral,Positive,3.0,Three Stars,Three Stars. Edges feel like you could cut yourself on the edges if not careful...Light weight not sturdy feeling.
Negative,Positive,1.0,Not a good substitute for the GE filters,Not a good substitute for the GE filters. Pay attention to the negative reviews on this product. I ordered three of these and none of them worked. They made my 
Neutral,Negative,3.0,Three Stars,Three Stars. DOESN'T FIT AS WELL AS THE ORIGINAL
Negative,Positive,1.0,Missing 2 our of three parts.,"Missing 2 our of three parts.. Ordered a package deal with 3 parts, only received 1 and delivery was later than promised."
Neutral,Negative,3.0,"Excellent seller, but the OEM Whirlpool part is not proper for my 1996 Kitchenaid Model KUDI24SEWH1 dishwasher","Excellent seller, but the OEM Whirlpool part is not proper for my 1996 Kitchenaid Model KUDI24SEWH1 dishwasher. The shipping and RMA refund were handled promptl"
