label,GradientBoosting_pred,overall,summary,text_preview
Negative,Positive,2.0,Don't Buy if Need RPWFE,Don't Buy if Need RPWFE. I finally got around to installing this but my GE fridge shows an error that a leak is occurring and turns off the water.  I've tried r
Neutral,Positive,3.0,"The screw is fine, the price is way off","The screw is fine, the price is way off. The screw is fine, the price is way off. this is the exact same as a 90 cent screw at home depot. Machine screw, Metric"
Neutral,Positive,3.0,It's a filter......,"It's a filter....... It does what it's supposed to do.  I wish they wouldn't get so nasty so fast, but that's just the nature of these things."
Negative,Positive,2.0,Two Stars,"Two Stars. I bought the wrong size, not the products fault"
Negative,Positive,2.0,Two Stars,Two Stars. A dollar plastic part cost $20.....too expensive.
Negative,Positive,1.0,I was hoping for the price I would've gotten a little better quality!,"I was hoping for the price I would've gotten a little better quality!. I would rate it lower if I could because after a year of owning it it is now dead..
I was"
Negative,Positive,1.0,Will not fit an Maytag Atlantis,"Will not fit an Maytag Atlantis. Would not fit my washer. I had asked before ordering and told it would fit, so tore my machine down to install, only to find it"
Positive,Neutral,5.0,Five Stars,Five Stars. on the expensive side
Neutral,Negative,3.0,Uneven Performance,"Uneven Performance. This product generally had good reviews. I ordered one as a gift. The one received did not work at all. I contacted Amazon, who promptly iss"
Negative,Positive,1.0,Buyer beware:  many buyers receiving incompatible part,Buyer beware:  many buyers receiving incompatible part. Parts finder lied to me; this is not the correct part for my appliance.  This solenoid valve has four ma
Positive,Neutral,5.0,Five Stars,Five Stars. Cute for 4 - 7 year olds. Even the three year olds were able to work with them easilyn.
Negative,Positive,1.0,Arrived damaged,Arrived damaged. Arrived badly damaged. Sending back.
Negative,Positive,2.0,"You're probably looking for the ""Broan BP56""","You're probably looking for the ""Broan BP56"". This product is probably fine for the right stove, but if you have an old apartment size range hood like me, then "
Neutral,Negative,3.0,"even though it is flexible, it does not want ...","even though it is flexible, it does not want .... even though it is flexible, it does not want to lay flat. Thought that would change after having the heat from"
Neutral,Positive,3.0,"Works good, keep it off the bottom of sink...or else!","Works good, keep it off the bottom of sink...or else!. Worked good for about a month then it rotted out. Luckily this came with a bunch, so when I installed it "
Positive,Negative,5.0,Free from Whirlpool,Free from Whirlpool. Call whirlpool. They will send it for free even if you are out of warranty. But you must ask then to have it sent for free. If you are unde
Negative,Positive,2.0,Not as advertised,Not as advertised. Filter fit fine.  Water tastes good.  Unfortunately it takes about 10 minutes to fill up a glass of water now.  Do not recommend.
Neutral,Positive,3.0,Range Kleen,"Range Kleen. Did not receive what I ordered.  I ordered Chrome Plated Vinyl, with the white vinyl to match my range.  I received all chrome.  It does the job bu"
Negative,Positive,2.0,Not worth it.,"Not worth it.. We got these to replace the old granules in our humidifier. I followed the instructions as provided, but the granules leaked all over once I plac"
Positive,Negative,5.0,Equal if not better filtration at much less than half the price.,Equal if not better filtration at much less than half the price.. This is the second time I have purchased this after market filter and I have been very please 
Neutral,Positive,3.0,... show the same humidity and temperature reading which is good. However I have another different brand hygrometer and ...,... show the same humidity and temperature reading which is good. However I have another different brand hygrometer and .... I purchased 2 of these and they bot
Neutral,Negative,3.0,Came off about 1 month after use. I feel ...,Came off about 1 month after use. I feel .... Came off about 1 month after use. I feel I followed the prep instructions correctly. Thought it would last longer.
Negative,Positive,1.0,Ice Maker purchased to replace a defective Ice Maker. ...,"Ice Maker purchased to replace a defective Ice Maker. .... Ice Maker purchased to replace a defective Ice Maker. Installed by certified appliance technician, te"
Neutral,Negative,3.0,Washer delivered was not the one pictured on the website.,Washer delivered was not the one pictured on the website.. Very disappointed washer delivered was not one pictured. When you buy a major appliance it should be 
Negative,Positive,2.0,Two Stars,Two Stars. Nope they were reversed on my stove so we still guessing themp on our stove
Negative,Positive,1.0,Poor quality,Poor quality. Such a shame!!! They don't make products the way they use to. This was my second replacement. I actually said a prayer as I gently and strategical
Negative,Positive,2.0,Two Stars,Two Stars. flimsy
Negative,Positive,1.0,4. Is it legal to sell R-22a for use ...,"4. Is it legal to sell R-22a for use .... 4.  Is it legal to sell R-22a for use as a refrigerant in air conditioning equipment designed for use with HCFC-22?

N"
Negative,Positive,1.0,Water tastes awful,"Water tastes awful. After years of buying filters on Amazon in the $15 range, I paid over $40 for the ""brand"" name quality Kenmore for my 10 year old Kenmore si"
Negative,Positive,1.0,Great if you like the taste of chlorine.,Great if you like the taste of chlorine.. Made out tap water taste chlorinated. The absolute worst filter I have used. Back to the over priced Maytag/PUR filter
Negative,Positive,1.0,""" A good to excellent reliability rating"" (<<<-that was 2 years ago)",""" A good to excellent reliability rating"" (<<<-that was 2 years ago). UPDATE AUGUST 21, 2018
5 Stars to 1 Star
Buy this Washer, you will learn how to Reset the "
Neutral,Negative,3.0,HAND TO HAND FILE SOME PIECES ON THE FITTING TO ...,"HAND TO HAND FILE SOME PIECES ON THE FITTING TO .... HAND TO HAND FILE SOME PIECES ON THE FITTING TO KEEP THEM FROM SPRAYING WATER EVERYWHERE, BUT ONCE I DID TH"
Negative,Positive,1.0,Not needed,"Not needed. Did not end up using it, determined that it wasn't needed, ideally, would have preferred to return it."
Negative,Positive,1.0,WAY Overpriced,WAY Overpriced. The price must be a misprint.  $10 per 3 oz. bag is SIX TIMES what hair ball cat treats cost in any normal store.
Negative,Positive,2.0,"very cheap and tear easy, will not buy again","very cheap and tear easy, will not buy again. These are aftermarket, very cheap and tear easy, will not buy again. OEM brand will not tear up."
Negative,Positive,2.0,Two Stars,Two Stars. Filters collapse when you get them wet.
Neutral,Positive,3.0,Three Stars,"Three Stars. Good price. but too light. Compared with the original one I had, the appearance is obviously different.."
Neutral,Positive,3.0,"Filters Work, Sort Of","Filters Work, Sort Of. The filters arrived on-time, that is on Day 10 of the 7-10 day arrival deadline.

The filters arrive in a plastic bag 2-pack inside a pol"
Neutral,Positive,3.0,It worked though Not Perfectly,It worked though Not Perfectly. Got it and used it on my dryer as a replacement.  It kinda fit but didn't fit perfectly.  About 5% lin could escape through the 
Neutral,Negative,3.0,Missing parts,Missing parts. Missing triangled clips
Negative,Positive,2.0,Two Stars,Two Stars. returned it
Positive,Negative,5.0,The way Kitchenaid should have made these to begin with!,The way Kitchenaid should have made these to begin with!. This was another part I used to resurrect an aging Kitchenaid dishwasher.  I have no idea why they did
Negative,Positive,2.0,Two Stars,Two Stars. One of the none broke shortly after receiving
Negative,Positive,2.0,Two Stars,"Two Stars. Fit great, but broke a year after install."
Negative,Positive,1.0,Not happy with these at all,Not happy with these at all. The price on these is great but they don't work.  They do not remove the iron taste from our water like the LG filters do.  I had o
Neutral,Positive,3.0,Started out real bad but is now pretty stable...,"Started out real bad but is now pretty stable.... If you ever wondered about the metaphors ""you can't judge a book by its cover"" or ""every rose has its thorn"", "
