label,MLP_pred,overall,summary,text_preview
Positive,Neutral,5.0,Five Stars,Five Stars. The whole basket works much smoother now just it doesn't break in a year.
Negative,Positive,2.0,"You're probably looking for the ""Broan BP56""","You're probably looking for the ""Broan BP56"". This product is probably fine for the right stove, but if you have an old apartment size range hood like me, then "
Neutral,Negative,3.0,"even though it is flexible, it does not want ...","even though it is flexible, it does not want .... even though it is flexible, it does not want to lay flat. Thought that would change after having the heat from"
Positive,Negative,5.0,Free from Whirlpool,Free from Whirlpool. Call whirlpool. They will send it for free even if you are out of warranty. But you must ask then to have it sent for free. If you are unde
Negative,Positive,2.0,Not as advertised,Not as advertised. Filter fit fine.  Water tastes good.  Unfortunately it takes about 10 minutes to fill up a glass of water now.  Do not recommend.
Negative,Positive,2.0,Not worth it.,"Not worth it.. We got these to replace the old granules in our humidifier. I followed the instructions as provided, but the granules leaked all over once I plac"
Neutral,Negative,3.0,Came off about 1 month after use. I feel ...,Came off about 1 month after use. I feel .... Came off about 1 month after use. I feel I followed the prep instructions correctly. Thought it would last longer.
Neutral,Negative,3.0,Washer delivered was not the one pictured on the website.,Washer delivered was not the one pictured on the website.. Very disappointed washer delivered was not one pictured. When you buy a major appliance it should be 
Negative,Positive,2.0,Two Stars,Two Stars. Nope they were reversed on my stove so we still guessing themp on our stove
Positive,Neutral,5.0,Hope it doesn't crack soon!,"Hope it doesn't crack soon!. This bin replaces the original CHEAP clear plastic bins that Frigidaire made for this refrigerator. I hope they don't crack soon, t"
Neutral,Negative,3.0,HAND TO HAND FILE SOME PIECES ON THE FITTING TO ...,"HAND TO HAND FILE SOME PIECES ON THE FITTING TO .... HAND TO HAND FILE SOME PIECES ON THE FITTING TO KEEP THEM FROM SPRAYING WATER EVERYWHERE, BUT ONCE I DID TH"
Negative,Positive,1.0,The first ones I received looked fine on the upper side,"The first ones I received looked fine on the upper side. The first ones I received looked fine on the upper side, but the porcelain was poorly done underneath. "
Negative,Positive,1.0,WAY Overpriced,WAY Overpriced. The price must be a misprint.  $10 per 3 oz. bag is SIX TIMES what hair ball cat treats cost in any normal store.
Negative,Positive,2.0,"very cheap and tear easy, will not buy again","very cheap and tear easy, will not buy again. These are aftermarket, very cheap and tear easy, will not buy again. OEM brand will not tear up."
Negative,Neutral,2.0,Two Stars,Two Stars. Filters collapse when you get them wet.
Neutral,Negative,3.0,"Filters Work, Sort Of","Filters Work, Sort Of. The filters arrived on-time, that is on Day 10 of the 7-10 day arrival deadline.

The filters arrive in a plastic bag 2-pack inside a pol"
Neutral,Positive,3.0,It worked though Not Perfectly,It worked though Not Perfectly. Got it and used it on my dryer as a replacement.  It kinda fit but didn't fit perfectly.  About 5% lin could escape through the 
Neutral,Negative,3.0,Missing parts,Missing parts. Missing triangled clips
Negative,Positive,2.0,Two Stars,Two Stars. returned it
Negative,Positive,1.0,This filter is HORRIBLE..,This filter is HORRIBLE... This filter is HORRIBLE...Do not buy it.  It falls apart and makes your house smell.  I even put solution in it.  They need to get ba
Neutral,Positive,3.0,Three Stars,Three Stars. It's ok the filter is really loud compared to the name brand
Negative,Positive,2.0,Two Stars,"Two Stars. Fit great, but broke a year after install."
Neutral,Positive,3.0,Started out real bad but is now pretty stable...,"Started out real bad but is now pretty stable.... If you ever wondered about the metaphors ""you can't judge a book by its cover"" or ""every rose has its thorn"", "
Neutral,Negative,3.0,3 star,3 star. Lack of flexibility in the hook and didn't allow enough depth into wall drain. I'm sure it would vary for different applications. Over all price and fun
Neutral,Positive,3.0,It looks great and airflow is sufficient - but the LED lighting ...,It looks great and airflow is sufficient - but the LED lighting .... It looks great and airflow is sufficient - but the LED lighting is a bit of a joke - very d
Neutral,Positive,3.0,a bit pricey but does the job,"a bit pricey but does the job. Hard to rate a water filter,  but it does the job and of course takes only seconds to install. Again not thrilled about the price"
Negative,Positive,1.0,Not the same as prior replacements,Not the same as prior replacements. I have had the same humidifier for quite a few years and replace the filter every winter.  This replacement did not last as 
Negative,Neutral,1.0,Need bulb for wall range unit,Need bulb for wall range unit. I don't know what happened the part numbers were the same but the item was not the same it did not fit and we can't find the bulb
Positive,Negative,4.0,drip pans,drip pans. i like the product however most stoves are 3 small burners and 1 large and i didn't notice that this package was 2 large and 2 small.  slightly disap
Negative,Positive,2.0,dishwetter,dishwetter. Dishes stay wet. beautiful stainless steel inside and out.  Not much room inside. Silverware holder makes you put each in individual hole with pokey
Negative,Positive,2.0,I don't like this whole system,I don't like this whole system. I don't like this whole system. It is junk. It has a lot built up when running. So the pads are just a gem catcher
Neutral,Positive,3.0,Three Stars,"Three Stars. Would have preferred a different set up. Bowls do not fit, more for only using plates."
Neutral,Positive,3.0,Three Stars,Three Stars. ok
Neutral,Positive,3.0,Three Stars,Three Stars. Works good
Positive,Negative,4.0,Samsung DA97-03290A - SAMSUNG refrigerator door tray -- Happy.,"Samsung DA97-03290A - SAMSUNG refrigerator door tray -- Happy.. Honestly, I don't know how the original door tray broke, but it did.  We tried to glue it back t"
Neutral,Positive,3.0,Three Stars,Three Stars. i have to change this too often.
Neutral,Positive,3.0,Three Stars,Three Stars. I it fits the Samsung refrigerator a little loose but it works.
Negative,Positive,2.0,"""Color"" peals off!","""Color"" peals off!. Item does what it was supposed to do except the oil rubbed bronze ""color"" pealed off within the first few weeks of using it"
Neutral,Positive,3.0,Three Stars,Three Stars. Not the quality of the original Kitchenaid basket.
Positive,Negative,5.0,Cheap quality replacement for a faulty lid switch,Cheap quality replacement for a faulty lid switch. Better quality than a replacement lid switch I bought previously that only lasted 2 years. The wire length on
Negative,Positive,2.0,slooooowwww,"slooooowwww. It works, but it is painfully slow. Yes, it makes ice within 10 minutes, but only a few cubes at a time. So within 1 hours you end up with approx 5"
Positive,Negative,5.0,Inability to fit resolved!,Inability to fit resolved!. I actually started to return this filter because it would not fit.  I'd seen other similar problems in reviews.  But it turned out t
Neutral,Positive,3.0,More cheaply made than original,"More cheaply made than original. This was much cheaper than the one that came with the dishwasher.  Also, the original one had stainless steel trim. This one is"
Neutral,Positive,3.0,Otherwise this is very nice quality and fit perfectly,Otherwise this is very nice quality and fit perfectly. Would have rated higher but boot did not come with a hole for the bleach line. I had to make one so hopef
Neutral,Positive,3.0,Flawed design...,"Flawed design.... The item is as described.  As other posters have stated, the original design is flawed, and this tray will break again in the exact same way. "
Neutral,Positive,3.0,"Excellent for the price, but flawed with no way to calibrate.","Excellent for the price, but flawed with no way to calibrate.. At this price point this thermometer is, in my opinion, about as good as it gets. Because the the"
